Price	Close	High	Low	Open	Volume
Ticker	AAPL	AAPL	AAPL	AAPL	AAPL
Date					
2001-01-08	0.2574948967	0.2771576959	0.2387675377	0.2537489348	2770521600
2001-01-15	0.2921389639	0.293075254	0.2471948426	0.261239918	3150666400
2001-01-22	0.2930752337	0.3136751379	0.2762212894	0.285584964	3088478400
2001-01-29	0.3089939654	0.3370841599	0.2930754492	0.2930754492	3075693600
2001-02-05	0.286521405	0.3204633652	0.2799665717	0.30712047	2336924800
2001-02-12	0.2846488059	0.3080575908	0.2771576826	0.2855850962	1395637600
2001-02-19	0.2818399668	0.2986939193	0.2696674413	0.2874576593	1430979200
2001-02-26	0.2883939743	0.3061842188	0.2574949128	0.2855851278	1799851200
2001-03-05	0.3033752739	0.3305291919	0.2883939046	0.2902664601	1979510400
2001-03-12	0.2940116227	0.3202292527	0.2715399791	0.2949487631	2311758400
2001-03-19	0.3445743322	0.3530017206	0.2902664906	0.2958850579	2894780000
2001-03-26	0.3306416571	0.3558105577	0.3165587972	0.3465223885	2876350400
2001-04-02	0.3084695041	0.3394809748	0.2809028078	0.3309411477	2166735200
2001-04-09	0.3358851075	0.344873763	0.3005286343	0.3099669951	1356986400
2001-04-16	0.3751369715	0.3857733577	0.2936374743	0.3309411731	4638340000
2001-04-23	0.3925153017	0.393863518	0.3522148072	0.3646499406	2502152800
2001-04-30	0.3857734203	0.406298704	0.3589567851	0.4000064523	1873149600
2001-05-07	0.3423276544	0.3859236105	0.3409794379	0.3838262016	1408898400
2001-05-14	0.3525150716	0.3820281278	0.3408291339	0.3429265419	1359747200
2001-05-21	0.3409794867	0.361503923	0.3370841803	0.3540127973	1585455200
2001-05-28	0.3129638433	0.3370840658	0.2891431328	0.3343868084	2192036000
2001-06-04	0.3194054067	0.3250986082	0.3045742042	0.3158104387	1644697600
2001-06-11	0.3062218726	0.3255482502	0.2898922636	0.3153606969	1861255200
2001-06-18	0.3334883451	0.3445744138	0.2993307533	0.3057723235	1725976000
2001-06-25	0.3483203948	0.3760355658	0.3363349403	0.3370841328	1950261600
2001-07-02	0.3300427198	0.3630022638	0.3253981965	0.3541629476	797804000
2001-07-09	0.3722904027	0.3746873233	0.3122146914	0.3309412016	2272788000
2001-07-16	0.2993306816	0.3778333791	0.2919897271	0.3727400266	3369234400
2001-07-23	0.2840489149	0.3071204049	0.267419793	0.3009783488	1736890400
2001-07-30	0.2921389639	0.2981316751	0.2773077669	0.2864465896	1220665600
2001-08-06	0.284948349	0.2951358807	0.2777567369	0.2852478609	931996800
2001-08-13	0.2707161009	0.29004163	0.2692176915	0.2861463254	1162744800
2001-08-20	0.2782063484	0.2789555406	0.263375124	0.271764781	1119389600
2001-08-27	0.2779069841	0.2891432223	0.2588801084	0.2786561766	1172948000
2001-09-03	0.2588799894	0.2858468086	0.2576819419	0.2771576391	1232470400
2001-09-10	0.2602289319	0.2621761708	0.2534870296	0.2546850516	308845600
2001-09-17	0.2356591523	0.2654725745	0.2199285647	0.2397038005	2140118400
2001-09-24	0.2323629558	0.2522883424	0.2236737824	0.2413524414	1850088800
2001-10-01	0.2418012172	0.2434497953	0.2221753241	0.2320633674	1870943200
2001-10-08	0.2698168159	0.2708655203	0.2322135978	0.2332623023	1311744000
2001-10-15	0.2741617858	0.275809514	0.25408621	0.2689182392	1586603200
2001-10-22	0.2797047794	0.2909410135	0.2659214315	0.2728135305	1985261600
2001-10-29	0.2782063484	0.2825513329	0.2555845156	0.2782063484	1299894400
2001-11-05	0.2803038657	0.3015774659	0.2776074329	0.2822519311	1411239200
2001-11-12	0.2841990292	0.2981316916	0.2690674695	0.2795545334	1091014400
2001-11-19	0.2972331941	0.3026260576	0.284048897	0.2846487458	870760800
2001-11-26	0.3191058338	0.3228509695	0.2978322165	0.2987307521	1486531200
2001-12-03	0.3376830518	0.3600053752	0.3086188233	0.3155100718	1672613600
2001-12-10	0.3054727614	0.3444250138	0.3009784073	0.3339379708	955673600
2001-12-17	0.3146116138	0.3247991456	0.3024768417	0.3056229548	1176106400
2001-12-24	0.336035341	0.3445743178	0.3131131676	0.3131131676	687663200
2001-12-31	0.354911983	0.3588072872	0.3270457802	0.3372333333	1689262400
2002-01-07	0.3153607547	0.3595556999	0.303375303	0.355360883	2023996800
2002-01-14	0.3321400881	0.3406790662	0.3071204774	0.3147617698	2272597600
2002-01-21	0.3483203948	0.3522148505	0.32345095	0.3336385075	1300510400
2002-01-28	0.3656985462	0.37393801	0.3403794559	0.3505669844	1765097600
2002-02-04	0.3600054681	0.3892198727	0.3501174231	0.3643504542	2280000800
2002-02-11	0.3580581844	0.3781329088	0.3556612639	0.3585070147	1456112000
2002-02-18	0.3406789899	0.357608449	0.3213534358	0.3559607212	1528928800
2002-02-25	0.3513163328	0.3703432074	0.3137131143	0.3423276728	2523068800
2002-03-04	0.369443804	0.3758861988	0.3409794173	0.3484696914	1377191200
2002-03-11	0.3737887442	0.3766353701	0.3576085	0.368545223	1175804000
2002-03-18	0.3609048128	0.3790323236	0.3484696791	0.3737887769	1659767200
2002-03-25	0.3546126187	0.3609048453	0.3445744047	0.3606045082	756828800
2002-04-01	0.3706426024	0.3773836827	0.3487691333	0.3502675178	1234217600
2002-04-08	0.3754365444	0.3775339533	0.3562603523	0.3619535551	1405521600
2002-04-15	0.3742376268	0.3920656254	0.3715411943	0.3754364996	2087316000
2002-04-22	0.3447245955	0.3734893227	0.344574427	0.3721402812	1142528800
